Specimen properties : Specimen label,"DIC_S1"
General : End Time,"Tuesday, February 23, 2016 2:33:57 PM"
Specimen properties : Thickness,"0.92000",mm
Specimen properties : Width,"10.10000",mm
Test : Test Rate,"1.00000",mm/min
Modulus (Chord 0.001 mm/mm - 0.003 mm/mm) : Modulus (Chord 0.001 mm/mm - 0.003 mm/mm),,GPa

Time,Extension,Load,Tensile strain (Extensometer),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","9.92922","0.00010","1.06858"
"0.10000","0.00044","10.08722","0.00022","1.08558"
"0.20000","0.00102","11.87950","0.00028","1.27847"
"0.30000","0.00378","21.73912","0.00016","2.33955"
"0.40000","0.00541","28.13587","0.00002","3.02797"
"0.50000","0.00707","33.76640","-0.00018","3.63392"
"0.60000","0.00873","40.13966","-0.00021","4.31981"
"0.70000","0.01039","46.12098","-0.00008","4.96352"
"0.80000","0.01209","52.08175","0.00008","5.60501"
"0.90000","0.01374","58.22962","0.00024","6.26664"
"1.00000","0.01540","64.44622","0.00031","6.93567"
"1.10000","0.01705","70.37704","0.00016","7.57394"
"1.20000","0.01875","76.02731","-0.00001","8.18202"
"1.30000","0.02042","82.43070","-0.00019","8.87115"
"1.40000","0.02207","88.39389","-0.00024","9.51290"
"1.50000","0.02374","94.31800","-0.00023","10.15045"
"1.60000","0.02542","100.16470","0.00001","10.77967"
"1.70000","0.02708","105.99983","0.00022","11.40764"
"1.80000","0.02872","111.69447","0.00025","12.02050"
"1.90000","0.03041","117.71682","0.00020","12.66862"
"2.00000","0.03209","123.28629","-0.00002","13.26800"
"2.10000","0.03375","128.79433","-0.00024","13.86078"
"2.20000","0.03539","134.03586","-0.00021","14.42487"
"2.30000","0.03707","139.75748","-0.00010","15.04062"
"2.40000","0.03876","145.63777","0.00011","15.67346"
"2.50000","0.04041","150.81512","0.00026","16.23064"
"2.60000","0.04206","155.92810","0.00034","16.78090"
"2.70000","0.04373","161.30739","0.00009","17.35981"
"2.80000","0.04542","166.97324","-0.00017","17.96957"
"2.90000","0.04707","172.11795","-0.00021","18.52324"
"3.00000","0.04872","177.62125","-0.00015","19.11550"
"3.10000","0.05039","182.85561","0.00009","19.67882"
"3.20000","0.05209","188.11971","0.00031","20.24534"
"3.30000","0.05374","193.74370","0.00034","20.85059"
"3.40000","0.05538","198.71582","0.00023","21.38569"
"3.50000","0.05706","204.09485","-0.00002","21.96458"
"3.60000","0.05875","209.44647","-0.00023","22.54052"
"3.70000","0.06042","214.51331","-0.00029","23.08581"
"3.80000","0.06206","219.51173","-0.00022","23.62373"
"3.90000","0.06374","224.57832","-0.00006","24.16900"
"4.00000","0.06542","229.69925","0.00016","24.72011"
"4.10000","0.06709","234.75504","0.00027","25.26421"
"4.20000","0.06873","239.55370","0.00021","25.78064"
"4.30000","0.07040","244.89293","0.00012","26.35525"
"4.40000","0.07208","249.70877","-0.00003","26.87352"
"4.50000","0.07373","255.23198","-0.00014","27.46793"
"4.60000","0.07539","259.82535","-0.00014","27.96226"
"4.70000","0.07707","264.79480","0.00000","28.49707"
"4.80000","0.07875","269.70407","0.00022","29.02541"
"4.90000","0.08039","274.64630","0.00028","29.55729"
"5.00000","0.08206","279.29160","0.00024","30.05721"
"5.10000","0.08374","284.40427","0.00003","30.60743"
"5.20000","0.08543","289.50775","-0.00016","31.15667"
"5.30000","0.08705","294.36569","-0.00018","31.67948"
"5.40000","0.08872","299.07083","-0.00004","32.18584"
"5.50000","0.09042","304.42236","0.00027","32.76177"
"5.60000","0.09209","308.35687","0.00047","33.18520"
"5.70000","0.09374","313.34592","0.00055","33.72212"
"5.80000","0.09537","317.45236","0.00036","34.16405"
"5.90000","0.09706","322.30493","0.00006","34.68628"
"6.00000","0.09877","326.98306","-0.00020","35.18974"
"6.10000","0.10041","331.46222","-0.00032","35.67178"
"6.20000","0.10204","335.32373","-0.00025","36.08736"
"6.30000","0.10374","339.94006","0.00003","36.58417"
"6.40000","0.10544","344.57147","0.00035","37.08260"
"6.50000","0.10708","349.05777","0.00055","37.56541"
"6.60000","0.10873","352.95212","0.00062","37.98452"
"6.70000","0.11039","357.40448","0.00052","38.46368"
"6.80000","0.11211","361.51193","0.00022","38.90572"
"6.90000","0.11376","366.05344","-0.00010","39.39447"
"7.00000","0.11541","369.88187","-0.00015","39.80649"
"7.10000","0.11705","373.85080","-0.00005","40.23362"
"7.20000","0.11877","378.23914","0.00014","40.70589"
"7.30000","0.12042","381.82901","0.00027","41.09223"
"7.40000","0.12206","385.91821","0.00031","41.53231"
"7.50000","0.12372","389.28024","0.00026","41.89413"
"7.60000","0.12540","393.53818","0.00013","42.35237"
"7.70000","0.12708","397.25696","-0.00010","42.75258"
"7.80000","0.12873","401.38602","-0.00021","43.19695"
"7.90000","0.13040","404.82413","-0.00019","43.56696"
"8.00000","0.13206","408.51175","-0.00004","43.96381"
"8.10000","0.13374","412.06464","0.00015","44.34617"
"8.20000","0.13540","415.52734","0.00027","44.71883"
"8.30000","0.13709","419.33905","0.00030","45.12904"
"8.40000","0.13874","422.91931","0.00020","45.51435"
"8.50000","0.14039","425.93015","0.00000","45.83837"
"8.60000","0.14209","429.58548","-0.00016","46.23176"
"8.70000","0.14376","433.08096","-0.00020","46.60794"
"8.80000","0.14543","436.63339","-0.00013","46.99025"
"8.90000","0.14703","439.57471","0.00011","47.30679"
"9.00000","0.14872","443.00580","0.00028","47.67604"
"9.10000","0.15043","446.16956","0.00034","48.01653"
"9.20000","0.15210","449.21381","0.00019","48.34415"
"9.30000","0.15372","452.27118","0.00005","48.67318"
"9.40000","0.15538","455.48282","-0.00009","49.01881"
"9.50000","0.15708","458.72528","-0.00018","49.36777"
"9.60000","0.15879","462.01770","-0.00011","49.72210"
"9.70000","0.16042","463.97043","0.00013","49.93225"
"9.80000","0.16202","466.34906","0.00034","50.18823"
"9.90000","0.16373","469.64304","0.00047","50.54273"
"10.00000","0.16544","472.84030","0.00046","50.88682"
"10.10000","0.16709","476.09979","0.00029","51.23760"
"10.20000","0.16870","479.21652","-0.00010","51.57302"
"10.30000","0.17038","482.39554","-0.00027","51.91515"
"10.40000","0.17210","485.40335","-0.00034","52.23885"
"10.50000","0.17376","488.72144","-0.00009","52.59594"
"10.60000","0.17540","491.18985","0.00024","52.86159"
"10.70000","0.17703","494.38089","0.00046","53.20501"
"10.80000","0.17876","497.25409","0.00042","53.51422"
"10.90000","0.18043","500.02835","0.00025","53.81278"
"11.00000","0.18208","503.05197","-0.00003","54.13818"
"11.10000","0.18373","505.97388","-0.00022","54.45264"
"11.20000","0.18542","508.44592","-0.00024","54.71867"
"11.30000","0.18710","511.55264","-0.00017","55.05302"
"11.40000","0.18876","514.27002","0.00008","55.34546"
"11.50000","0.19042","516.54388","0.00025","55.59018"
"11.60000","0.19205","519.34174","0.00041","55.89128"
"11.70000","0.19373","522.08521","0.00035","56.18653"
"11.80000","0.19542","524.82489","0.00010","56.48137"
"11.90000","0.19709","527.49548","-0.00023","56.76878"
"12.00000","0.19873","530.04626","-0.00049","57.04329"
"12.10000","0.20038","532.59448","-0.00036","57.31753"
"12.20000","0.20208","535.33002","0.00001","57.61193"
"12.30000","0.20376","537.87878","0.00038","57.88622"
"12.40000","0.20543","540.59833","0.00055","58.17890"
"12.50000","0.20702","542.80408","0.00053","58.41628"
"12.60000","0.20873","545.15747","0.00023","58.66955"
"12.70000","0.21043","548.04602","-0.00019","58.98042"
"12.80000","0.21211","550.58813","-0.00047","59.25400"
"12.90000","0.21370","552.51947","-0.00048","59.46185"
"13.00000","0.21536","554.76123","-0.00018","59.70310"
"13.10000","0.21708","557.40027","0.00017","59.98711"
"13.20000","0.21878","559.87177","0.00036","60.25310"
"13.30000","0.22040","562.44568","0.00045","60.53010"
"13.40000","0.22202","564.41901","0.00040","60.74247"
"13.50000","0.22374","566.46777","0.00009","60.96296"
"13.60000","0.22545","569.32770","-0.00029","61.27074"
"13.70000","0.22708","571.18677","-0.00049","61.47081"
"13.80000","0.22870","573.47980","-0.00039","61.71759"
"13.90000","0.23040","575.70313","-0.00007","61.95686"
"14.00000","0.23212","578.39691","0.00029","62.24676"
"14.10000","0.23376","580.27441","0.00046","62.44882"
"14.20000","0.23540","582.55518","0.00041","62.69427"
"14.30000","0.23704","584.51904","0.00015","62.90562"
"14.40000","0.23875","587.01483","-0.00014","63.17422"
"14.50000","0.24042","588.96576","-0.00034","63.38418"
"14.60000","0.24206","591.25769","-0.00028","63.63083"
"14.70000","0.24371","593.07898","-0.00002","63.82684"
"14.80000","0.24539","595.39886","0.00026","64.07651"
"14.90000","0.24707","597.62000","0.00043","64.31554"
"15.00000","0.24874","599.74792","0.00042","64.54455"
"15.10000","0.25040","601.91565","0.00020","64.77784"
"15.20000","0.25204","603.61261","-0.00015","64.96046"
"15.30000","0.25373","605.85419","-0.00037","65.20170"
"15.40000","0.25541","607.77118","-0.00042","65.40800"
"15.50000","0.25711","610.15790","-0.00018","65.66486"
"15.60000","0.25873","611.69269","0.00009","65.83004"
"15.70000","0.26039","613.83893","0.00038","66.06101"
"15.80000","0.26209","615.85529","0.00046","66.27802"
"15.90000","0.26377","617.68359","0.00036","66.47478"
"16.00000","0.26539","619.38416","0.00010","66.65779"
"16.10000","0.26703","621.43372","-0.00017","66.87836"
"16.20000","0.26873","623.39911","-0.00033","67.08987"
