Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
0,0,14.147181
51,1,13.982979
126,2,14.209734
226,3,13.930852
326,4,13.606357
426,5,13.910001
526,6,14.139362
626,7,14.268378
726,8,14.169336
826,9,14.049442
926,10,14.268378
1026,11,14.775319
1126,12,15.22101
1226,13,15.363058
1326,14,16.090238
1426,15,16.599785
1526,16,17.710103
1626,17,18.968984
1726,18,19.625792
1826,19,21.806029
1926,20,23.775149
2026,21,25.673897
2126,22,27.777246
2226,23,29.390595
2326,24,30.626019
2426,25,31.974821
2526,26,33.468277
2626,27,34.845749
2726,28,36.031652
2826,29,37.216251
2926,30,38.07766
3026,31,39.455132
3126,32,40.704891
3226,33,41.851698
3326,34,42.943772
3426,35,44.377281
3526,36,44.949381
3626,37,46.41156
3726,38,47.912835
3826,39,48.918898
3926,40,49.909322
4026,41,51.105651
4126,42,52.301979
4226,43,53.689877
4326,44,54.903147
4426,45,55.636843
4526,46,56.552985
4626,47,57.80926
4726,48,59.029046
4826,49,60.313992
4926,50,61.317448
5026,51,62.05766
5126,52,63.111941
5226,53,64.644492
5326,54,65.836911
5426,55,66.659224
5526,56,67.959808
5626,57,68.886376
5726,58,70.1218
5826,59,71.483633
5926,60,72.639563
6026,61,73.448844
6126,62,74.473151
6226,63,75.565225
6326,64,76.841048
6426,65,78.041286
6526,66,78.940487
6626,67,79.803199
6726,68,81.03341
6826,69,82.335297
6926,70,83.469072
7026,71,84.55463
7126,72,85.315693
7226,73,86.453377
7326,74,87.821727
7426,75,88.981566
7526,76,89.599278
7626,77,90.717415
7726,78,91.595765
7826,79,92.773849
7926,80,94.027518
8026,81,95.096134
8126,82,95.876745
8226,83,96.88802
8326,84,98.032221
8426,85,99.278071
8526,86,100.583867
8626,87,101.450488
8726,88,102.056472
8826,89,103.284077
8926,90,104.606815
9026,91,105.727558
9126,92,106.861333
9226,93,107.716226
9326,94,108.658433
9426,95,110.239202
9526,96,111.266116
9626,97,112.197897
9726,98,112.896407
9826,99,114.070581
9926,100,115.214782
10026,101,116.579222
10126,102,117.542279
10226,103,118.458422
10326,104,119.293766
10426,105,120.348047
10526,106,121.554801
10626,107,122.859294
10726,108,123.921394
10826,109,124.735888
10926,110,125.967403
11026,111,127.198917
11126,112,128.29099
11226,113,129.337452
11326,114,129.964286
11426,115,130.915615
11526,116,132.291784
11626,117,133.571516
11726,118,134.529361
11826,119,135.412924
11926,120,136.408561
12026,121,137.499331
12126,122,138.839011
12226,123,139.936297
12326,124,140.785977
12426,125,142.091773
12526,126,142.589592
12626,127,143.848473
12726,128,145.026557
12826,129,145.920545
12926,130,146.30238
13026,131,147.533895
13126,132,148.702856
13226,133,149.731073
13326,134,150.769715
13426,135,151.479954
13526,136,152.085937
13626,137,153.391734
13726,138,154.416041
13826,139,155.119764
13926,140,156.047635
14026,141,156.845187
14126,142,157.694867
14226,143,158.934201
14326,144,159.983269
14426,145,160.762577
14526,146,161.511911
14626,147,162.485394
14726,148,163.516217
14826,149,164.758157
14926,150,165.381082
15026,151,166.34414
15126,152,167.269405
15226,153,168.511345
15326,154,169.471796
15426,155,170.170306
15526,156,171.165943
15626,157,171.873575
15726,158,172.968255
15826,159,174.112455
15926,160,175.156311
16026,161,175.798783
16126,162,176.516841
16226,163,177.292239
16326,164,178.427318
16426,165,179.392981
16526,166,179.748752
16626,167,180.756118
16726,168,181.521091
16826,169,182.635318
16926,170,183.703934
17026,171,184.505396
17126,172,184.968028
17226,173,185.641778
17326,174,186.707787
17426,175,187.692999
17526,176,188.430604
17626,177,189.391055
17726,178,189.789832
17826,179,190.752889
17926,180,191.781106
18026,181,192.504376
18126,182,193.381423
18226,183,194.008258
18326,184,194.800597
18426,185,196.07642
18526,186,196.830967
18626,187,197.429132
18726,188,197.924344
18826,189,198.661949
18926,190,199.631523
19026,191,200.559394
19126,192,201.208383
19226,193,201.680137
19326,194,202.312185
19426,195,203.322157
19526,196,204.157502
19626,197,204.917262
19726,198,205.289974
19826,199,205.863378
19926,200,206.587951
20026,201,207.501487
20126,202,208.048827
20226,203,208.521885
20326,204,208.915449
20426,205,209.453666
20526,206,210.606989
20626,207,211.094382
20726,208,211.48143
20826,209,211.984461
20926,210,212.779407
21026,211,213.407545
21126,212,214.072172
21226,213,214.627331
21326,214,215.083447
21426,215,215.556505
21526,216,216.2081
21626,217,217.004349
21726,218,217.614242
21826,219,218.019534
21926,220,218.317965
22026,221,219.043842
22126,222,219.639399
22226,223,220.186739
22326,224,220.82009
22426,225,221.531631
22526,226,221.605913
22626,227,222.409981
22726,228,223.301363
22826,229,223.680592
22926,230,223.921682
23026,231,224.420804
23126,232,225.009846
23226,233,225.793063
23326,234,226.33519
23426,235,226.607557
23526,236,227.324311
23626,237,227.839071
23726,238,228.558432
23826,239,229.226969
23926,240,229.426357
24026,241,229.864228
24126,242,230.30601
24226,243,231.112685
24326,244,231.581833
24426,245,231.949333
24526,246,232.194332
24626,247,232.513614
24726,248,233.226459
24826,249,233.935394
24926,250,234.047468
25026,251,234.451457
25126,252,235.011829
25226,253,235.690791
25326,254,236.381482
25426,255,236.893636
25526,256,237.145151
25626,257,237.523076
25726,258,237.980496
25826,259,238.596905
25926,260,239.258925
26026,261,239.425734
26126,262,239.606877
26226,263,240.219377
26326,264,240.852727
26426,265,241.40137
26526,266,241.639854
26626,267,241.981289
26726,268,242.449135
26826,269,243.004294
26926,270,243.564665
27026,271,243.790117
27126,272,244.204532
27226,273,244.483414
27326,274,245.055515
27426,275,245.529876
27526,276,245.780088
27626,277,245.893466
27726,278,246.413439
27826,279,246.968598
27926,280,247.394741
28026,281,247.564156
28126,282,247.721842
28226,283,247.905591
28326,284,248.43599
28426,285,248.843888
28526,286,248.645803
28626,287,248.94684
28726,288,249.103223
28826,289,249.477239
28926,290,249.839525
29026,291,250.329525
29126,292,250.475482
29226,293,250.771306
29326,294,250.951146
29426,295,251.422901
29526,296,251.897262
29626,297,252.228273
29726,298,252.082315
29826,299,252.256943
29926,300,252.726091
30026,301,253.137899
30126,302,253.328165
30226,303,253.229123
30326,304,253.496277
30426,305,253.716516
30526,306,254.425451
30626,307,254.717366
30726,308,254.921967
30826,309,254.826834
30926,310,255.168269
31026,311,255.445849
31126,312,255.881114
31226,313,255.980157
31326,314,256.10396
31426,315,256.229066
31526,316,256.743826
31626,317,256.971884
31726,318,257.25207
31826,319,257.365448
31926,320,257.5909
32026,321,258.049623
32126,322,258.358479
32226,323,258.744223
32326,324,258.612601
32426,325,258.841962
32526,326,259.239435
32626,327,259.80502
32726,328,260.199886
32826,329,260.469647
32926,330,260.390152
33026,331,260.786322
33126,332,261.394911
33226,333,261.598209
33326,334,261.86406
33426,335,262.128607
33526,336,262.290203
33626,337,262.46874
33726,338,263.051266
33826,339,263.396611
33926,340,263.456558
34026,341,263.713287
34126,342,264.104244
34226,343,264.565573
34326,344,264.951317
34426,345,264.947408
34526,346,265.05036
34626,347,265.518205
34726,348,266.121582
34826,349,266.515145
34926,350,266.939985
35026,351,266.821395
35126,352,267.307485
35226,353,267.810516
35326,354,268.617191
35426,355,268.89477
35526,356,269.513785
35626,357,269.872163
35726,358,270.269636
35826,359,270.938172
35926,360,271.361709
36026,361,271.593677
36126,362,272.10583
36226,363,272.762638
36326,364,273.268276
36426,365,273.785642
36526,366,274.005881
36626,367,274.256094
36726,368,274.787795
36826,369,275.511066
36926,370,275.963273
37026,371,276.474123
37126,372,276.504097
37226,373,277.018857
37326,374,277.597473
37426,375,278.297286
37526,376,278.729945
37626,377,278.848536
37726,378,279.269466
37826,379,279.850689
37926,380,280.255981
38026,381,280.632603
38126,382,280.816353
38226,383,281.147363
38326,384,281.66082
38426,385,282.291564
38526,386,282.842813
38626,387,283.332813
38726,388,283.374515
38826,389,283.725073
38926,390,284.448343
39026,391,284.946162
39126,392,285.399672
39226,393,285.621214
39326,394,285.828422
39426,395,286.186799
39526,396,286.856638
39626,397,287.354457
39726,398,287.819696
39826,399,288.006052
39926,400,288.354004
40026,401,289.167194
40126,402,289.562061
40226,403,289.896981
40326,404,290.437805
40426,405,290.990357
40526,406,291.657591
40626,407,292.210143
40726,408,292.627164
40826,409,292.602403
40926,410,293.336099
41026,411,294.041125
41126,412,294.614529
41226,413,295.232241
41326,414,295.247879
41426,415,295.681841
41526,416,296.265671
41626,417,297.076255
41726,418,297.418994
41826,419,298.08753
41926,420,298.382051
42026,421,299.053194
42126,422,299.715215
42226,423,300.429363
42326,424,300.747341
42426,425,301.281649
42526,426,301.650452
42626,427,302.500132
42726,428,303.103509
42826,429,303.349812
42926,430,303.748588
43026,431,304.483587
43126,432,305.21207
43226,433,305.854543
43326,434,306.556962
43426,435,306.624728
43526,436,307.281536
43626,437,307.913583
43726,438,308.773689
43826,439,309.405736
43926,440,310.082091
44026,441,310.327091
44126,442,310.860096
44226,443,311.492143
44326,444,312.154163
44426,445,312.842248
44526,446,313.187593
44626,447,313.505572
44726,448,314.260119
44826,449,314.905198
44926,450,315.314399
45026,451,315.61283
45126,452,316.265728
45226,453,316.932961
45326,454,317.512881
45426,455,318.202268
45526,456,318.327375
45626,457,318.903385
45726,458,319.756974
45826,459,320.287373
45926,460,321.047132
