Date/Time: 3/4/2016 3:02:21 PM
Material:  Al 6061 T6
Time (ms)	Displacement (um)	Load (N)
0	0.000000	14.147181	
51	1.000000	13.982979	
126	2.000000	14.209734	
226	3.000000	13.930852	
326	4.000000	13.606357	
426	5.000000	13.910001	
526	6.000000	14.139362	
626	7.000000	14.268378	
726	8.000000	14.169336	
826	9.000000	14.049442	
926	10.000000	14.268378	
1026	11.000000	14.775319	
1126	12.000000	15.221010	
1226	13.000000	15.363058	
1326	14.000000	16.090238	
1426	15.000000	16.599785	
1526	16.000000	17.710103	
1626	17.000000	18.968984	
1726	18.000000	19.625792	
1826	19.000000	21.806029	
1926	20.000000	23.775149	
2026	21.000000	25.673897	
2126	22.000000	27.777246	
2226	23.000000	29.390595	
2326	24.000000	30.626019	
2426	25.000000	31.974821	
2526	26.000000	33.468277	
2626	27.000000	34.845749	
2726	28.000000	36.031652	
2826	29.000000	37.216251	
2926	30.000000	38.077660	
3026	31.000000	39.455132	
3126	32.000000	40.704891	
3226	33.000000	41.851698	
3326	34.000000	42.943772	
3426	35.000000	44.377281	
3526	36.000000	44.949381	
3626	37.000000	46.411560	
3726	38.000000	47.912835	
3826	39.000000	48.918898	
3926	40.000000	49.909322	
4026	41.000000	51.105651	
4126	42.000000	52.301979	
4226	43.000000	53.689877	
4326	44.000000	54.903147	
4426	45.000000	55.636843	
4526	46.000000	56.552985	
4626	47.000000	57.809260	
4726	48.000000	59.029046	
4826	49.000000	60.313992	
4926	50.000000	61.317448	
5026	51.000000	62.057660	
5126	52.000000	63.111941	
5226	53.000000	64.644492	
5326	54.000000	65.836911	
5426	55.000000	66.659224	
5526	56.000000	67.959808	
5626	57.000000	68.886376	
5726	58.000000	70.121800	
5826	59.000000	71.483633	
5926	60.000000	72.639563	
6026	61.000000	73.448844	
6126	62.000000	74.473151	
6226	63.000000	75.565225	
6326	64.000000	76.841048	
6426	65.000000	78.041286	
6526	66.000000	78.940487	
6626	67.000000	79.803199	
6726	68.000000	81.033410	
6826	69.000000	82.335297	
6926	70.000000	83.469072	
7026	71.000000	84.554630	
7126	72.000000	85.315693	
7226	73.000000	86.453377	
7326	74.000000	87.821727	
7426	75.000000	88.981566	
7526	76.000000	89.599278	
7626	77.000000	90.717415	
7726	78.000000	91.595765	
7826	79.000000	92.773849	
7926	80.000000	94.027518	
8026	81.000000	95.096134	
8126	82.000000	95.876745	
8226	83.000000	96.888020	
8326	84.000000	98.032221	
8426	85.000000	99.278071	
8526	86.000000	100.583867	
8626	87.000000	101.450488	
8726	88.000000	102.056472	
8826	89.000000	103.284077	
8926	90.000000	104.606815	
9026	91.000000	105.727558	
9126	92.000000	106.861333	
9226	93.000000	107.716226	
9326	94.000000	108.658433	
9426	95.000000	110.239202	
9526	96.000000	111.266116	
9626	97.000000	112.197897	
9726	98.000000	112.896407	
9826	99.000000	114.070581	
9926	100.000000	115.214782	
10026	101.000000	116.579222	
10126	102.000000	117.542279	
10226	103.000000	118.458422	
10326	104.000000	119.293766	
10426	105.000000	120.348047	
10526	106.000000	121.554801	
10626	107.000000	122.859294	
10726	108.000000	123.921394	
10826	109.000000	124.735888	
10926	110.000000	125.967403	
11026	111.000000	127.198917	
11126	112.000000	128.290990	
11226	113.000000	129.337452	
11326	114.000000	129.964286	
11426	115.000000	130.915615	
11526	116.000000	132.291784	
11626	117.000000	133.571516	
11726	118.000000	134.529361	
11826	119.000000	135.412924	
11926	120.000000	136.408561	
12026	121.000000	137.499331	
12126	122.000000	138.839011	
12226	123.000000	139.936297	
12326	124.000000	140.785977	
12426	125.000000	142.091773	
12526	126.000000	142.589592	
12626	127.000000	143.848473	
12726	128.000000	145.026557	
12826	129.000000	145.920545	
12926	130.000000	146.302380	
13026	131.000000	147.533895	
13126	132.000000	148.702856	
13226	133.000000	149.731073	
13326	134.000000	150.769715	
13426	135.000000	151.479954	
13526	136.000000	152.085937	
13626	137.000000	153.391734	
13726	138.000000	154.416041	
13826	139.000000	155.119764	
13926	140.000000	156.047635	
14026	141.000000	156.845187	
14126	142.000000	157.694867	
14226	143.000000	158.934201	
14326	144.000000	159.983269	
14426	145.000000	160.762577	
14526	146.000000	161.511911	
14626	147.000000	162.485394	
14726	148.000000	163.516217	
14826	149.000000	164.758157	
14926	150.000000	165.381082	
15026	151.000000	166.344140	
15126	152.000000	167.269405	
15226	153.000000	168.511345	
15326	154.000000	169.471796	
15426	155.000000	170.170306	
15526	156.000000	171.165943	
15626	157.000000	171.873575	
15726	158.000000	172.968255	
15826	159.000000	174.112455	
15926	160.000000	175.156311	
16026	161.000000	175.798783	
16126	162.000000	176.516841	
16226	163.000000	177.292239	
16326	164.000000	178.427318	
16426	165.000000	179.392981	
16526	166.000000	179.748752	
16626	167.000000	180.756118	
16726	168.000000	181.521091	
16826	169.000000	182.635318	
16926	170.000000	183.703934	
17026	171.000000	184.505396	
17126	172.000000	184.968028	
17226	173.000000	185.641778	
17326	174.000000	186.707787	
17426	175.000000	187.692999	
17526	176.000000	188.430604	
17626	177.000000	189.391055	
17726	178.000000	189.789832	
17826	179.000000	190.752889	
17926	180.000000	191.781106	
18026	181.000000	192.504376	
18126	182.000000	193.381423	
18226	183.000000	194.008258	
18326	184.000000	194.800597	
18426	185.000000	196.076420	
18526	186.000000	196.830967	
18626	187.000000	197.429132	
18726	188.000000	197.924344	
18826	189.000000	198.661949	
18926	190.000000	199.631523	
19026	191.000000	200.559394	
19126	192.000000	201.208383	
19226	193.000000	201.680137	
19326	194.000000	202.312185	
19426	195.000000	203.322157	
19526	196.000000	204.157502	
19626	197.000000	204.917262	
19726	198.000000	205.289974	
19826	199.000000	205.863378	
19926	200.000000	206.587951	
20026	201.000000	207.501487	
20126	202.000000	208.048827	
20226	203.000000	208.521885	
20326	204.000000	208.915449	
20426	205.000000	209.453666	
20526	206.000000	210.606989	
20626	207.000000	211.094382	
20726	208.000000	211.481430	
20826	209.000000	211.984461	
20926	210.000000	212.779407	
21026	211.000000	213.407545	
21126	212.000000	214.072172	
21226	213.000000	214.627331	
21326	214.000000	215.083447	
21426	215.000000	215.556505	
21526	216.000000	216.208100	
21626	217.000000	217.004349	
21726	218.000000	217.614242	
21826	219.000000	218.019534	
21926	220.000000	218.317965	
22026	221.000000	219.043842	
22126	222.000000	219.639399	
22226	223.000000	220.186739	
22326	224.000000	220.820090	
22426	225.000000	221.531631	
22526	226.000000	221.605913	
22626	227.000000	222.409981	
22726	228.000000	223.301363	
22826	229.000000	223.680592	
22926	230.000000	223.921682	
23026	231.000000	224.420804	
23126	232.000000	225.009846	
23226	233.000000	225.793063	
23326	234.000000	226.335190	
23426	235.000000	226.607557	
23526	236.000000	227.324311	
23626	237.000000	227.839071	
23726	238.000000	228.558432	
23826	239.000000	229.226969	
23926	240.000000	229.426357	
24026	241.000000	229.864228	
24126	242.000000	230.306010	
24226	243.000000	231.112685	
24326	244.000000	231.581833	
24426	245.000000	231.949333	
